0  -0.8 583.9717972
1  0.82 396.0710921
2  -0.152 191.9546415
3  0.2854 72.65693863
4  0.127936 22.6032302
5  0.1751752 5.974820451
6  0.1630279771 1.373821145
7  0.1657611023 0.2796232141
8  0.1652144773 0.0510656577
9  0.1653128698 0.008458339224
10  0.1652967692 0.001281951182
11  0.1652991843 0.0001790923789
12  0.1652988499 2.32059603e-05
13  0.1652988929 2.803826172e-06
14  0.1652988877 3.173482032e-07
15  0.1652988883 3.37839176e-08
16  0.1652988882 3.394783275e-09
17  0.1652988882 3.230784164e-10
18  0.1652988882 2.913263617e-11
19  0.1652988882 2.569045149e-12
20  0.1652988882 1.511203029e-13
21  0.1652988882 6.716457906e-14
22  0.1652988882 5.037343429e-14
23  0.1652988882 5.037343429e-14
24  0.1652988882 5.037343429e-14
25  0.1652988882 5.037343429e-14
26  0.1652988882 5.037343429e-14
27  0.1652988882 5.037343429e-14
28  0.1652988882 5.037343429e-14
29  0.1652988882 5.037343429e-14
30  0.1652988882 5.037343429e-14
31  0.1652988882 5.037343429e-14
32  0.1652988882 5.037343429e-14
33  0.1652988882 5.037343429e-14
34  0.1652988882 5.037343429e-14
35  0.1652988882 5.037343429e-14
36  0.1652988882 5.037343429e-14
37  0.1652988882 5.037343429e-14
38  0.1652988882 5.037343429e-14
39  0.1652988882 5.037343429e-14
40  0.1652988882 5.037343429e-14
41  0.1652988882 5.037343429e-14
42  0.1652988882 5.037343429e-14
43  0.1652988882 5.037343429e-14
44  0.1652988882 5.037343429e-14
45  0.1652988882 5.037343429e-14
46  0.1652988882 5.037343429e-14
47  0.1652988882 5.037343429e-14
48  0.1652988882 5.037343429e-14
49  0.1652988882 5.037343429e-14
50  0.1652988882 5.037343429e-14
51  0.1652988882 5.037343429e-14
52  0.1652988882 5.037343429e-14
53  0.1652988882 5.037343429e-14
54  0.1652988882 5.037343429e-14
55  0.1652988882 5.037343429e-14
56  0.1652988882 5.037343429e-14
57  0.1652988882 5.037343429e-14
58  0.1652988882 5.037343429e-14
59  0.1652988882 5.037343429e-14
60  0.1652988882 5.037343429e-14
61  0.1652988882 5.037343429e-14
62  0.1652988882 5.037343429e-14
63  0.1652988882 5.037343429e-14
64  0.1652988882 5.037343429e-14
65  0.1652988882 5.037343429e-14
66  0.1652988882 5.037343429e-14
67  0.1652988882 5.037343429e-14
68  0.1652988882 5.037343429e-14
69  0.1652988882 5.037343429e-14
70  0.1652988882 5.037343429e-14
71  0.1652988882 5.037343429e-14
72  0.1652988882 5.037343429e-14
73  0.1652988882 5.037343429e-14
74  0.1652988882 5.037343429e-14
75  0.1652988882 5.037343429e-14
76  0.1652988882 5.037343429e-14
77  0.1652988882 5.037343429e-14
78  0.1652988882 5.037343429e-14
79  0.1652988882 5.037343429e-14
80  0.1652988882 5.037343429e-14
81  0.1652988882 5.037343429e-14
82  0.1652988882 5.037343429e-14
83  0.1652988882 5.037343429e-14
84  0.1652988882 5.037343429e-14
85  0.1652988882 5.037343429e-14
86  0.1652988882 5.037343429e-14
87  0.1652988882 5.037343429e-14
88  0.1652988882 5.037343429e-14
89  0.1652988882 5.037343429e-14
90  0.1652988882 5.037343429e-14
91  0.1652988882 5.037343429e-14
92  0.1652988882 5.037343429e-14
93  0.1652988882 5.037343429e-14
94  0.1652988882 5.037343429e-14
95  0.1652988882 5.037343429e-14
96  0.1652988882 5.037343429e-14
97  0.1652988882 5.037343429e-14
98  0.1652988882 5.037343429e-14
99  0.1652988882 5.037343429e-14
100  0.1652988882 5.037343429e-14
